orb_m,5,5,5,5,5,5,10,10,10,10,10,10,15,15,15,15,15,15,20,20,20,20,20,20,25,25,25,25,25,25,30,30,30,30,30,30
target_R,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Date Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-08-29,0.6660,1.3320,1.9980,2.6640,3.3300,3.9960,0.9533,1.9066,2.8599,3.8132,4.7666,5.7199,0.9998,1.9995,2.9993,3.9990,4.9988,5.9985,0.9992,1.9985,2.9977,3.9970,4.3792,4.3792,0.9999,1.9998,2.9997,3.9996,4.0723,4.0723,0.9999,1.9998,2.9997,3.9996,4.0723,4.0723
2023-08-30,1.0000,1.9999,2.9999,3.4229,3.4229,3.4229,1.0000,1.9999,2.9999,3.4229,3.4229,3.4229,0.9999,1.9998,2.9997,3.1270,3.1270,3.1270,0.9999,1.9998,2.2725,2.2725,2.2725,2.2725,0.9997,1.9995,1.7596,1.7596,1.7596,1.7596,0.9996,1.3368,1.3368,1.3368,1.3368,1.3368
2023-08-31,NaN,NaN,NaN,NaN,NaN,NaN,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,-1.4649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-05,NaN,NaN,NaN,NaN,NaN,NaN,0.9996,1.9992,2.5676,2.5676,2.5676,2.5676,0.9996,1.9992,2.5676,2.5676,2.5676,2.5676,0.9996,1.9992,2.5676,2.5676,2.5676,2.5676,0.9996,1.9992,2.5676,2.5676,2.5676,2.5676,0.9996,1.9992,2.5676,2.5676,2.5676,2.5676
2023-09-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-07,0.9998,1.9996,1.8621,1.8621,1.8621,1.8621,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,-0.1470,-0.1470,-0.1470,-0.1470,-0.1470,-0.1470,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820,-0.2820
2023-09-08,0.9995,-1.9990,-1.9990,-1.9990,-1.9990,-1.9990,-1.9992,-1.9992,-1.9992,-1.9992,-1.9992,-1.9992,-1.9983,-1.9983,-1.9983,-1.9983,-1.9983,-1.9983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14,0.9999,1.9998,2.9997,2.8200,2.8200,2.8200,0.9997,0.7675,0.7675,0.7675,0.7675,0.7675,0.1999,0.1999,0.1999,0.1999,0.1999,0.1999,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926
2023-09-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-18,0.9991,0.5150,0.5150,0.5150,0.5150,0.5150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-19,-1.9994,-1.9994,-1.9994,-1.9994,-1.9994,-1.9994,-2.0000,-2.0000,-2.0000,-2.0000,-2.0000,-2.0000,-1.9991,-1.9991,-1.9991,-1.9991,-1.9991,-1.9991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-21,0.9996,-1.9991,-1.9991,-1.9991,-1.9991,-1.9991,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996,-1.9996
2023-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8122,1.6245,2.4367,3.2490,4.0612,4.8734,0.8122,1.6245,2.4367,3.2490,4.0612,4.8734,0.8122,1.6245,2.4367,3.2490,4.0612,4.8734,0.9720,1.9439,2.9159,3.8879,4.8599,0.8942
2023-09-25,0.9999,1.9998,2.9997,0.8282,0.8282,0.8282,0.9999,1.9998,2.9997,0.8282,0.8282,0.8282,0.9999,1.9998,2.9997,0.8282,0.8282,0.8282,0.9999,1.9998,2.9997,0.8282,0.8282,0.8282,0.9999,1.9998,2.9997,0.8282,0.8282,0.8282,1.0000,2.0000,0.0664,0.0664,0.0664,0.0664
2023-09-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
