caldt,open,high,low,close,volume,vwap,transactions,day
2024-01-03 15:52:00,19.64,19.64,19.64,19.64,907,19.64,6,2024-01-03
2024-01-03 15:56:00,19.64,19.64,19.64,19.64,233,19.64,1,2024-01-03
2024-01-04 09:36:00,19.45,19.4501,19.13,19.43,476,19.3786,4,2024-01-04
2024-01-04 10:31:00,19.66,19.66,19.6599,19.6599,400,19.6599,2,2024-01-04
2024-01-04 11:12:00,19.7198,19.7198,19.7198,19.7198,203,19.7198,1,2024-01-04
2024-01-04 13:44:00,19.61,19.61,19.61,19.61,200,19.61,2,2024-01-04
2024-01-04 15:44:00,19.62,19.62,19.6199,19.6199,1000,19.62,2,2024-01-04
2024-01-05 13:52:00,19.68,19.68,19.67,19.67,6418,19.6711,17,2024-01-05
2024-01-05 15:44:00,19.46,19.46,19.46,19.46,500,19.46,2,2024-01-05
2024-01-08 09:50:00,20.0299,20.0299,20.0299,20.0299,100,20.0299,1,2024-01-08
2024-01-08 10:11:00,20.38,20.38,20.38,20.38,100,20.38,1,2024-01-08
2024-01-08 10:34:00,20.36,20.36,20.36,20.36,100,20.36,1,2024-01-08
2024-01-08 11:33:00,20.425,20.425,20.425,20.425,100,20.425,1,2024-01-08
2024-01-08 14:22:00,20.67,20.67,20.66,20.66,485,20.6609,8,2024-01-08
2024-01-08 15:15:00,20.71,20.71,20.7,20.71,500,20.708,5,2024-01-08
2024-01-08 15:59:00,20.81,20.81,20.81,20.81,100,20.81,1,2024-01-08
2024-01-09 09:34:00,20.64,20.64,20.64,20.64,100,20.64,1,2024-01-09
2024-01-09 09:42:00,20.51,20.51,20.51,20.51,122,20.51,1,2024-01-09
2024-01-10 10:18:00,20.83,20.83,20.83,20.83,100,20.83,1,2024-01-10
2024-01-11 09:42:00,21.6083,21.6083,21.6083,21.6083,300,21.6083,1,2024-01-11
2024-01-11 10:23:00,21.0597,21.0597,21.0597,21.0597,125,21.0597,1,2024-01-11
2024-01-12 09:30:00,22.16,22.16,22.16,22.16,348,22.1439,2,2024-01-12
2024-01-12 10:01:00,21.72,21.72,21.72,21.72,125,21.72,1,2024-01-12
2024-01-16 09:44:00,21.0,21.0,20.9732,20.9732,239,20.9845,3,2024-01-16
2024-01-16 15:20:00,21.25,21.25,21.25,21.25,150,21.25,1,2024-01-16
2024-01-16 15:35:00,21.22,21.22,21.22,21.22,119,21.22,3,2024-01-16
2024-01-17 13:08:00,20.89,20.89,20.89,20.89,100,20.89,1,2024-01-17
2024-01-18 10:01:00,21.4,21.4,21.4,21.4,200,21.4,1,2024-01-18
2024-01-18 10:30:00,21.49,21.49,21.49,21.49,700,21.49,1,2024-01-18
2024-01-18 10:31:00,21.47,21.47,21.47,21.47,700,21.47,2,2024-01-18
2024-01-18 12:16:00,21.2403,21.2403,21.2403,21.2403,118,21.2403,2,2024-01-18
2024-01-18 15:46:00,21.63,21.64,21.63,21.64,500,21.638,5,2024-01-18
2024-01-18 15:49:00,21.62,21.62,21.62,21.62,250,21.62,5,2024-01-18
2024-01-18 15:59:00,21.66,21.66,21.66,21.66,220,21.66,1,2024-01-18
2024-01-19 09:31:00,21.85,21.85,21.85,21.85,100,21.85,1,2024-01-19
2024-01-19 12:28:00,21.8997,21.8997,21.8997,21.8997,225,21.8997,1,2024-01-19
2024-01-19 14:30:00,22.3899,22.3899,22.3899,22.3899,313,22.3899,1,2024-01-19
2024-01-22 09:40:00,23.2,23.2,23.2,23.2,147,23.1984,2,2024-01-22
2024-01-22 09:52:00,23.3,23.3,23.2999,23.2999,400,23.3,2,2024-01-22
2024-01-22 10:20:00,23.45,23.45,23.45,23.45,200,23.45,3,2024-01-22
2024-01-22 10:32:00,23.157,23.157,23.1101,23.1101,243,23.1294,2,2024-01-22
2024-01-22 10:56:00,23.15,23.15,23.15,23.15,100,23.15,1,2024-01-22
2024-01-22 12:01:00,23.1001,23.1001,23.1001,23.1001,109,23.1005,3,2024-01-22
2024-01-22 12:05:00,23.0995,23.0995,23.0995,23.0995,218,23.0995,3,2024-01-22
2024-01-22 13:41:00,22.88,22.88,22.8799,22.8799,200,22.8799,2,2024-01-22
2024-01-22 13:58:00,22.94,22.94,22.94,22.94,316,22.9279,5,2024-01-22
2024-01-22 14:58:00,22.935,22.935,22.935,22.935,250,22.935,1,2024-01-22
2024-01-22 15:59:00,23.0,23.0,23.0,23.0,244,23.0,1,2024-01-22
2024-01-23 09:30:00,23.39,23.39,23.26,23.26,701,23.3715,2,2024-01-23
2024-01-23 09:31:00,23.26,23.26,23.26,23.26,140,23.24,4,2024-01-23
2024-01-23 09:39:00,23.09,23.09,23.0899,23.0899,222,23.0899,2,2024-01-23
2024-01-23 10:23:00,23.0,23.0,23.0,23.0,100,23.0,1,2024-01-23
2024-01-23 13:46:00,22.9999,23.0,22.9999,23.0,400,22.9999,2,2024-01-23
2024-01-23 15:25:00,23.1699,23.17,23.1699,23.17,214,23.17,2,2024-01-23
2024-01-23 15:59:00,23.2,23.2,23.2,23.2,129,23.2,1,2024-01-23
2024-01-24 09:30:00,23.84,23.84,23.84,23.84,250,23.84,1,2024-01-24
2024-01-24 09:34:00,23.59,23.59,23.59,23.59,102,23.59,1,2024-01-24
2024-01-24 10:29:00,23.6579,23.6579,23.6579,23.6579,160,23.6561,2,2024-01-24
2024-01-24 10:30:00,23.65,23.65,23.65,23.65,504,23.65,1,2024-01-24
2024-01-24 10:31:00,23.62,23.62,23.62,23.62,100,23.62,1,2024-01-24
2024-01-24 11:53:00,23.65,23.65,23.65,23.65,155,23.65,1,2024-01-24
2024-01-24 13:40:00,23.41,23.41,23.4099,23.4099,420,23.4099,2,2024-01-24
2024-01-24 15:41:00,23.148,23.148,23.14,23.14,400,23.146,2,2024-01-24
2024-01-25 09:34:00,23.57,23.65,23.57,23.65,250,23.618,2,2024-01-25
2024-01-25 09:38:00,23.585,23.585,23.585,23.585,111,23.585,1,2024-01-25
2024-01-25 11:01:00,23.6897,23.6897,23.6897,23.6897,100,23.6897,1,2024-01-25
